laptop_ID,Inches,Ram,Weight,Price_euros,Acer,Apple,Asus,Chuwi,Dell,Fujitsu,Google,HP,Huawei,LG,Lenovo,MSI,Mediacom,Microsoft,Razer,Samsung,Toshiba,Vero,Xiaomi,2 in 1 Convertible,Gaming,Netbook,Notebook,Ultrabook,Workstation,Screen Width,Screen Height,CPU Frequency,Memory Amount,Android,Chrome OS,Linux,Mac OS X,No OS,Windows 10,Windows 10 S,Windows 7,macOS,AMD_CPU,Intel_CPU,Samsung_CPU,AMD_GPU,ARM_GPU,Intel_GPU,Nvidia_GPU
15,12.0,8,0.92,1262.4,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2304,1440,1.2,256000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
16,13.3,8,1.37,1518.55,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2560,1600,2.3,256000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
17,15.6,8,2.2,745.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.7,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
18,15.4,16,1.83,2858.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2880,1800,2.9,512000.0,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False
19,15.6,8,2.2,499.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.4,1000000.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
20,13.3,8,1.22,979.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.6,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
21,11.6,2,0.98,191.9,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1366,768,1.44,32000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
22,15.6,8,2.5,999.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.5,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
23,15.6,4,1.86,258.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,1.5,500000.0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
24,13.3,8,1.62,819.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
25,15.6,8,1.91,659.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
26,15.6,4,2.3,418.64,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.0,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
27,13.3,8,1.35,1099.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1440,900,1.6,128000.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
28,15.6,8,2.2,800.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
29,15.6,8,1.88,1298.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.9,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
30,17.3,8,2.5,896.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
31,15.6,4,1.89,244.99,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.44,64000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
32,14.0,2,1.65,199.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,1.5,32000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
33,17.3,4,2.71,439.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,500000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
34,13.3,16,1.2,1869.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3200,1800,1.8,512000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
35,13.3,8,1.35,998.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1440,900,1.6,256000.0,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
36,14.0,4,1.44,249.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,1.1,64000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
37,15.6,4,2.1,367.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.7,1000000.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
38,17.3,8,2.8,979.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
39,15.6,4,1.86,488.69,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.5,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
40,15.6,8,2.1,879.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
41,15.6,4,2.0,389.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.0,1000000.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
42,15.6,16,2.65,1499.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
43,15.6,8,2.3,522.99,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.5,1000000.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
44,15.6,4,2.2,682.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
45,17.3,12,2.77,999.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1920,1080,1.6,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
46,13.3,8,1.37,1419.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2560,1600,2.0,256000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
47,15.6,4,2.2,369.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.0,128000.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
48,17.3,8,3.2,1299.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,3.0,256000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
49,15.6,4,2.3,639.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
50,17.3,4,2.8,466.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,1.1,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
51,10.1,4,0.69,319.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1920,1200,1.44,64000.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
52,15.6,8,2.2,841.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
53,15.6,4,1.86,398.49,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,256000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
54,13.3,8,1.49,1103.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,512000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
55,15.6,4,2.4,384.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.4,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
56,15.6,8,2.13,767.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
57,15.6,4,1.91,439.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.0,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
58,15.6,4,2.0,586.19,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.5,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
59,17.3,16,2.43,2449.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
60,15.6,4,2.0,415.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.0,256000.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
61,17.3,16,2.8,1299.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
62,14.0,8,1.7,879.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
63,14.0,8,1.7,599.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.7,256000.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
64,14.0,8,1.4,941.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
66,15.6,8,1.86,690.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
67,15.6,16,1.8,1983.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,2.8,512000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
68,15.6,4,1.86,438.69,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.0,500000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
69,14.0,4,1.44,229.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,1.6,32000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
70,15.6,4,1.9,549.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
71,17.3,12,3.0,949.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,1000000.0,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
72,13.5,4,1.252,1089.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2256,1504,2.5,128000.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
73,13.3,8,1.4,955.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
74,15.6,8,2.2,870.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
75,17.3,8,2.7,1095.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.5,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
76,14.0,8,2.1,389.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,2.0,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
77,15.6,8,2.2,949.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
78,15.6,8,2.2,519.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,2000000.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
79,15.6,8,2.02,855.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
80,15.6,4,2.2,530.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.7,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
81,17.3,8,2.5,977.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
82,15.6,8,1.88,1096.16,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
83,12.0,8,0.92,1510.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,2304,1440,1.3,512000.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
84,14.0,8,1.63,860.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
85,15.6,4,2.2,399.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,128000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
86,15.6,4,2.1,395.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,3.0,1000000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
87,15.6,16,2.65,1349.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
88,15.6,8,1.83,699.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
89,15.6,8,1.96,598.99,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
90,15.6,16,2.2,1449.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
91,13.3,8,1.21,1649.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
92,15.6,8,2.45,699.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,3.0,1000000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
93,15.6,8,2.2,689.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
94,13.3,16,1.49,1197.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,512000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
95,15.6,8,2.65,1195.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.5,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
96,14.0,8,1.25,1049.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,2.7,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
97,13.3,8,1.5,847.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
98,15.6,8,2.2,599.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.7,1000000.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
99,15.6,4,2.2,485.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.0,256000.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
100,15.6,6,2.0,577.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.4,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
102,15.6,12,2.62,1249.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,128000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
103,15.6,8,1.91,719.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.7,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
104,15.6,4,2.1,349.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.5,500000.0,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
105,15.6,8,2.2,647.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.6,1000000.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False
106,13.3,8,1.38,1119.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,2.7,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
107,13.5,8,1.252,1340.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,2256,1504,2.5,256000.0,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False
108,14.0,6,1.58,659.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.5,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
109,15.6,4,1.85,414.9,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.0,1000000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
110,14.0,8,1.3,1193.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,2.7,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
111,15.6,16,2.2,1299.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,1920,1080,2.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
112,14.0,8,1.58,1480.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,2.7,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
113,15.6,16,1.5,1262.0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
114,13.3,8,1.23,1379.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,3200,1800,2.4,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
115,13.3,8,1.37,1399.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1920,1080,2.5,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
116,14.0,4,1.63,722.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1366,768,1.6,500000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
117,13.3,8,1.21,1629.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
118,13.3,8,1.26,1398.99,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1920,1080,1.6,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
119,14.0,8,1.63,1084.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,512000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
120,15.6,8,2.16,1130.33,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1920,1080,1.8,256000.0,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
